harness_id,harness,topic,tasks,execution_outcome_score,outcome_score,outcome_ci_low,outcome_ci_high,process_score,process_effective_unrounded,security_score,combined_score,combined_ci_low,combined_ci_high
codex,Codex CLI 0.139,"Data, BI & Finance Analytics",14,0.7978357142857143,0.7978357142857143,0.6969923214285714,0.8962328571428572,0.9326285714285711,0.9326190476190475,1.0,0.7408928571428571,0.6506994642857142,0.8254664285714285
codex,Codex CLI 0.139,"Knowledge, Evidence & Retrieval",13,0.8089615384615385,0.8089615384615385,0.7440782692307693,0.8768734615384615,0.9594923076923076,0.9594871794871798,1.0,0.7765153846153846,0.7140676923076923,0.8468761538461537
codex,Codex CLI 0.139,Long-running Autonomy & State Adaptation,11,0.4827363636363637,0.4827363636363637,0.30261499999999997,0.6712949999999995,0.7451454545454546,0.7451515151515152,1.0,0.3934818181818182,0.21485659090909098,0.5884484090909089
codex,Codex CLI 0.139,Office & Business Communication,12,0.8576333333333334,0.8576333333333334,0.7651062500000001,0.9381002083333333,0.9258333333333333,0.9258333333333334,1.0,0.7942916666666667,0.7051225000000001,0.8700502083333332
codex,Codex CLI 0.139,"SRE, DevOps & Release Ops",7,0.8445,0.8445,0.7608228571428571,0.9151,0.9200285714285714,0.92,1.0,0.7750571428571428,0.7061142857142857,0.8358714285714285
codex,Codex CLI 0.139,Software Engineering & Codebase Maintenance,22,0.8704727272727272,0.8704727272727272,0.7687761363636363,0.950177159090909,0.8706045454545454,0.8706060606060604,1.0,0.7756272727272727,0.6733229545454545,0.861693068181818
codex,Codex CLI 0.139,Vertical Professional Workflows,12,0.805625,0.805625,0.7308333333333333,0.8781302083333332,0.9511083333333334,0.951111111111111,1.0,0.7672416666666666,0.6882914583333333,0.8403541666666666
codex,Codex CLI 0.139,"Workspace, Tool Use & Multimodal Operations",15,0.87074,0.85514,0.7618251666666667,0.9369981666666666,0.9160000000000001,0.9159999999999999,1.0,0.7850933333333333,0.6927745000000001,0.8712191666666667
hermes_aggressive,Hermes — aggressive*,"Data, BI & Finance Analytics",14,0.8363642857142858,0.8363642857142858,0.7544132142857143,0.9185289285714285,,,,,,
hermes_aggressive,Hermes — aggressive*,"Knowledge, Evidence & Retrieval",13,0.7775923076923077,0.7775923076923077,0.7136346153846154,0.8452846153846155,,,,,,
hermes_aggressive,Hermes — aggressive*,Long-running Autonomy & State Adaptation,11,0.8321272727272727,0.8321272727272727,0.7161609090909091,0.9266445454545453,,,,,,
hermes_aggressive,Hermes — aggressive*,Office & Business Communication,12,0.87115,0.87115,0.7851722916666667,0.9430858333333333,,,,,,
hermes_aggressive,Hermes — aggressive*,"SRE, DevOps & Release Ops",7,0.8488857142857144,0.8488857142857144,0.7683660714285715,0.9226714285714286,,,,,,
hermes_aggressive,Hermes — aggressive*,Software Engineering & Codebase Maintenance,22,0.897459090909091,0.897459090909091,0.8352359090909092,0.9522545454545455,,,,,,
hermes_aggressive,Hermes — aggressive*,Vertical Professional Workflows,12,0.8487499999999999,0.8487499999999999,0.7841666666666667,0.9116770833333333,,,,,,
hermes_aggressive,Hermes — aggressive*,"Workspace, Tool Use & Multimodal Operations",15,0.875,0.875,0.7601866666666666,0.9620038333333333,,,,,,
hermes_default,Hermes — default,"Data, BI & Finance Analytics",14,0.80575,0.80575,0.6989391071428571,0.9035646428571431,0.919042857142857,0.9190476190476191,1.0,0.7403642857142858,0.6410410714285715,0.8319451785714282
